Time,Channel A,Channel B
(ms),(V),(V)

-488.78529668,2.46009700,0.00000000
-488.77505668,2.46009700,0.00000000
-488.76481668,2.46009700,0.00000000
-488.75457668,2.46009700,0.00000000
-488.74433668,2.46009700,0.00000000
-488.73409668,2.46009700,0.00000000
-488.72385668,2.46009700,0.00000000
-488.71361668,2.46009700,0.00000000
-488.70337668,2.46009700,0.00000000
-488.69313668,2.46009700,0.00000000
-488.68289668,2.46009700,0.00000000
-488.67265668,2.46009700,0.00000000
-488.66241668,2.46009700,0.00000000
-488.65217668,2.46009700,0.00000000
-488.64193668,2.46009700,0.00000000
-488.63169668,2.46009700,0.00000000
-488.62145668,2.46009700,0.00000000
-488.61121668,2.46009700,0.00000000
-488.60097668,2.46009700,0.00000000
-488.59073668,2.46009700,0.00000000
-488.58049668,2.46009700,0.00000000
-488.57025668,2.46009700,0.00000000
-488.56001668,2.46009700,0.00000000
-488.54977668,2.53944500,0.00000000
-488.53953668,2.46009700,0.00000000
-488.52929668,2.46009700,0.00000000
-488.51905668,2.46009700,0.00000000
-488.50881668,2.46009700,0.00000000
-488.49857668,2.46009700,0.00000000
-488.48833668,2.46009700,0.00000000
-488.47809668,2.46009700,0.00000000
-488.46785668,2.46009700,0.00000000
-488.45761668,2.46009700,0.00000000
-488.44737668,2.46009700,0.00000000
-488.43713668,2.46009700,0.00000000
-488.42689668,2.46009700,0.00000000
-488.41665668,2.46009700,0.00000000
-488.40641668,2.46009700,0.00000000
-488.39617668,2.46009700,0.00000000
-488.38593668,2.46009700,0.00000000
-488.37569668,2.46009700,0.00000000
-488.36545668,2.46009700,0.00000000
-488.35521668,2.46009700,0.00000000
-488.34497668,2.46009700,0.00000000
-488.33473668,2.46009700,0.00000000
-488.32449668,2.46009700,0.00000000
-488.31425668,2.46009700,0.00000000
-488.30401668,2.46009700,0.00000000
-488.29377668,2.46009700,0.00000000
-488.28353668,2.46009700,0.00000000
-488.27329668,2.46009700,0.00000000
-488.26305668,2.46009700,0.00000000
-488.25281668,2.46009700,0.00000000
-488.24257668,2.46009700,0.00000000
-488.23233668,2.46009700,0.00000000
-488.22209668,2.46009700,0.00000000
-488.21185668,2.46009700,-0.15869620
-488.20161668,2.46009700,0.00000000
-488.19137668,2.46009700,0.00000000
-488.18113668,2.46009700,0.00000000
-488.17089668,2.46009700,0.00000000
-488.16065668,2.46009700,-0.15869620
-488.15041668,2.46009700,0.00000000
-488.14017668,2.46009700,0.00000000
-488.12993668,2.46009700,-0.15869620
-488.11969668,2.46009700,-0.15869620
-488.10945668,2.46009700,0.00000000
-488.09921668,2.46009700,-0.15869620
-488.08897668,2.46009700,-0.15869620
-488.07873668,2.46009700,0.00000000
-488.06849668,2.46009700,0.00000000
-488.05825668,2.46009700,0.00000000
-488.04801668,2.46009700,0.00000000
-488.03777668,2.46009700,0.00000000
-488.02753668,2.46009700,-0.15869620
-488.01729668,2.46009700,-0.15869620
-488.00705668,2.53944500,-0.15869620
-487.99681668,2.46009700,-0.15869620
-487.98657668,2.46009700,0.00000000
-487.97633668,2.46009700,-0.15869620
-487.96609668,2.46009700,-0.15869620
-487.95585668,2.46009700,-0.15869620
-487.94561668,2.46009700,0.00000000
-487.93537668,2.46009700,-0.15869620
-487.92513668,2.46009700,-0.15869620
-487.91489668,2.46009700,-0.15869620
-487.90465668,2.46009700,-0.15869620
-487.89441668,2.46009700,-0.15869620
-487.88417668,2.53944500,-0.15869620
-487.87393668,2.46009700,-0.15869620
-487.86369668,2.46009700,-0.15869620
-487.85345668,2.46009700,-0.15869620
-487.84321668,2.46009700,-0.15869620
-487.83297668,2.46009700,-0.15869620
-487.82273668,2.46009700,-0.15869620
-487.81249668,2.46009700,-0.15869620
-487.80225668,2.46009700,-0.15869620
-487.79201668,2.46009700,-0.15869620
-487.78177668,2.46009700,-0.15869620
-487.77153668,2.46009700,-0.15869620
-487.76129668,2.46009700,-0.15869620
-487.75105668,2.46009700,-0.15869620
-487.74081668,2.46009700,-0.15869620
-487.73057668,2.46009700,-0.15869620
-487.72033669,2.46009700,-0.15869620
-487.71009669,2.46009700,-0.15869620
-487.69985669,2.46009700,-0.15869620
-487.68961669,2.46009700,-0.15869620
-487.67937669,2.46009700,-0.15869620
-487.66913669,2.46009700,-0.15869620
-487.65889669,2.46009700,-0.15869620
-487.64865669,2.46009700,-0.15869620
-487.63841669,2.46009700,-0.15869620
-487.62817669,2.46009700,-0.15869620
-487.61793669,2.46009700,-0.15869620
-487.60769669,2.46009700,-0.15869620
-487.59745669,2.46009700,-0.15869620
