Time,Channel A,Channel B
(ms),(V),(V)

-490.20990729,-0.07934812,-1.11087400
-490.19966729,0.00000000,-1.11087400
-490.18942729,0.00000000,-1.03152600
-490.17918729,0.07934812,-1.03152600
-490.16894729,0.07934812,-1.03152600
-490.15870729,0.07934812,-0.95217750
-490.14846729,0.15869620,-0.95217750
-490.13822729,0.15869620,-0.95217750
-490.12798729,0.23804440,-0.87282940
-490.11774729,0.23804440,-0.87282940
-490.10750729,0.31739250,-0.87282940
-490.09726729,0.31739250,-0.79348120
-490.08702729,0.31739250,-0.79348120
-490.07678729,0.39674060,-0.79348120
-490.06654729,0.39674060,-0.79348120
-490.05630729,0.39674060,-0.71413310
-490.04606729,0.47608880,-0.71413310
-490.03582729,0.47608880,-0.63478500
-490.02558729,0.55543680,-0.63478500
-490.01534729,0.55543680,-0.63478500
-490.00510729,0.55543680,-0.63478500
-489.99486729,0.63478500,-0.55543680
-489.98462729,0.63478500,-0.55543680
-489.97438729,0.63478500,-0.47608880
-489.96414729,0.71413310,-0.47608880
-489.95390729,0.71413310,-0.47608880
-489.94366729,0.79348120,-0.47608880
-489.93342730,0.79348120,-0.39674060
-489.92318730,0.79348120,-0.39674060
-489.91294730,0.87282940,-0.31739250
-489.90270730,0.95217750,-0.31739250
-489.89246730,0.95217750,-0.31739250
-489.88222730,0.95217750,-0.23804440
-489.87198730,0.95217750,-0.23804440
-489.86174730,1.03152600,-0.23804440
-489.85150730,1.03152600,-0.15869620
-489.84126730,1.11087400,-0.15869620
-489.83102730,1.11087400,-0.15869620
-489.82078730,1.11087400,-0.15869620
-489.81054730,1.19022200,-0.07934812
-489.80030730,1.19022200,-0.07934812
-489.79006730,1.19022200,0.00000000
-489.77982730,1.26957000,0.00000000
-489.76958730,1.26957000,0.00000000
-489.75934730,1.26957000,0.07934812
-489.74910730,1.34891800,0.07934812
-489.73886730,1.34891800,0.07934812
-489.72862730,1.34891800,0.15869620
-489.71838730,1.42857100,0.15869620
-489.70814730,1.42857100,0.15869620
-489.69790730,1.42857100,0.23804440
-489.68766730,1.50792000,0.23804440
-489.67742730,1.50792000,0.23804440
-489.66718730,1.50792000,0.31739250
-489.65694730,1.50792000,0.31739250
-489.64670730,1.58726800,0.39674060
-489.63646730,1.58726800,0.39674060
-489.62622730,1.66661600,0.39674060
-489.61598730,1.66661600,0.39674060
-489.60574730,1.66661600,0.47608880
-489.59550730,1.74596400,0.47608880
-489.58526730,1.74596400,0.47608880
-489.57502730,1.74596400,0.55543680
-489.56478730,1.74596400,0.55543680
-489.55454730,1.82531200,0.63478500
-489.54430730,1.82531200,0.63478500
-489.53406730,1.82531200,0.63478500
-489.52382730,1.82531200,0.71413310
-489.51358730,1.90466000,0.71413310
-489.50334730,1.90466000,0.71413310
-489.49310730,1.90466000,0.71413310
-489.48286730,1.90466000,0.79348120
-489.47262730,1.98400800,0.79348120
-489.46238730,1.98400800,0.79348120
-489.45214730,1.98400800,0.87282940
-489.44190730,1.98400800,0.87282940
-489.43166730,2.06335600,0.87282940
-489.42142730,2.06335600,0.87282940
-489.41118730,2.06335600,0.95217750
-489.40094730,2.06335600,0.95217750
-489.39070730,2.06335600,1.03152600
-489.38046730,2.06335600,1.03152600
-489.37022730,2.14270400,1.03152600
-489.35998730,2.14270400,1.11087400
-489.34974730,2.14270400,1.11087400
-489.33950730,2.14270400,1.11087400
-489.32926730,2.22205300,1.11087400
-489.31902730,2.22205300,1.19022200
-489.30878730,2.22205300,1.19022200
-489.29854730,2.22205300,1.19022200
-489.28830730,2.22205300,1.19022200
-489.27806730,2.22205300,1.26957000
-489.26782730,2.22205300,1.26957000
-489.25758730,2.30140100,1.26957000
-489.24734730,2.30140100,1.34891800
-489.23710730,2.30140100,1.34891800
-489.22686730,2.30140100,1.34891800
-489.21662730,2.30140100,1.34891800
-489.20638730,2.30140100,1.42857100
-489.19614730,2.30140100,1.42857100
-489.18590730,2.30140100,1.42857100
-489.17566730,2.38074900,1.42857100
-489.16542730,2.38074900,1.42857100
-489.15518730,2.38074900,1.50792000
-489.14494730,2.38074900,1.50792000
-489.13470730,2.38074900,1.58726800
-489.12446730,2.38074900,1.50792000
-489.11422730,2.38074900,1.58726800
-489.10398730,2.38074900,1.58726800
-489.09374730,2.38074900,1.58726800
-489.08350730,2.38074900,1.66661600
-489.07326730,2.38074900,1.66661600
-489.06302730,2.46009700,1.66661600
-489.05278730,2.38074900,1.66661600
-489.04254730,2.38074900,1.66661600
-489.03230730,2.38074900,1.74596400
-489.02206730,2.38074900,1.74596400
-489.01182730,2.38074900,1.74596400
