Time,Channel A,Channel B
(us),(V),(V)

-480.16311484,1.29444300,-0.24683370
-480.06311485,1.29856300,-0.24671160
-479.96311486,1.30359800,-0.24494160
-479.86311486,1.30817600,-0.24463640
-479.76311487,1.31305900,-0.24311040
-479.66311487,1.31672100,-0.24280530
-479.56311488,1.32145100,-0.24225590
-479.46311489,1.32572400,-0.24060790
-479.36311489,1.33045400,-0.24011960
-479.26311490,1.33472700,-0.23841060
-479.16311490,1.33823700,-0.23731190
-479.06311491,1.34342500,-0.23712880
-478.96311492,1.34754500,-0.23572500
-478.86311492,1.35136000,-0.23493150
-478.76311493,1.35578500,-0.23364970
-478.66311493,1.36097300,-0.23297830
-478.56311494,1.36387200,-0.23175760
-478.46311494,1.36829700,-0.23102510
-478.36311495,1.37241700,-0.22962130
-478.26311496,1.37745300,-0.22882780
-478.16311496,1.38264100,-0.22779010
-478.06311497,1.38554000,-0.22681360
-477.96311497,1.38874500,-0.22589800
-477.86311498,1.39378000,-0.22492140
-477.76311499,1.39881600,-0.22418900
-477.66311499,1.40308800,-0.22315130
-477.56311500,1.40629300,-0.22223580
-477.46311500,1.41117600,-0.22101510
-477.36311501,1.41529600,-0.21979430
-477.26311502,1.41895800,-0.21893980
-477.16311502,1.42262000,-0.21839040
-477.06311503,1.42719800,-0.21747490
-476.96311503,1.43055500,-0.21576590
-476.86311504,1.43559100,-0.21454510
-476.76311505,1.43940500,-0.21405680
-476.66311505,1.44413600,-0.21289710
-476.56311506,1.44856100,-0.21161530
-476.46311506,1.45161300,-0.21131020
-476.36311507,1.45649600,-0.20984530
-476.26311508,1.45878500,-0.20874660
-476.16311508,1.46382000,-0.20825830
-476.06311509,1.46763500,-0.20667130
-475.96311509,1.47282300,-0.20557270
-475.86311510,1.47694300,-0.20447400
-475.76311511,1.48075800,-0.20429090
-475.66311511,1.48472500,-0.20264290
-475.56311512,1.48747200,-0.20197150
-475.46311512,1.49144000,-0.20099490
-475.36311513,1.49632300,-0.20014040
-475.26311513,1.50044300,-0.19904170
-475.16311514,1.50380000,-0.19824820
-475.06311515,1.50776700,-0.19714960
-474.96311515,1.51158200,-0.19605090
-474.86311516,1.51570200,-0.19513540
-474.76311516,1.51936400,-0.19415880
-474.66311517,1.52348400,-0.19251080
-474.56311518,1.52867200,-0.19153420
-474.46311518,1.53111400,-0.19092380
-474.36311519,1.53508100,-0.18982510
-474.26311519,1.53904800,-0.18848230
-474.16311520,1.54301600,-0.18768880
-474.06311521,1.54744100,-0.18713950
-473.96311521,1.55034000,-0.18579670
-473.86311522,1.55491800,-0.18427080
-473.76311522,1.55797000,-0.18359940
-473.66311523,1.56178500,-0.18243970
-473.56311524,1.56605700,-0.18140200
-473.46311524,1.56987200,-0.18036440
-473.36311525,1.57445000,-0.17938780
-473.26311525,1.57826500,-0.17804500
-473.16311526,1.58024800,-0.17712940
-473.06311527,1.58452100,-0.17651910
-472.96311527,1.58803100,-0.17535940
-472.86311528,1.59230300,-0.17377240
-472.76311528,1.59611800,-0.17316200
-472.66311529,1.60039100,-0.17206340
-472.56311530,1.60329000,-0.17120880
-472.46311530,1.60786800,-0.17035430
-472.36311531,1.61229300,-0.16931670
-472.26311531,1.61534500,-0.16748560
-472.16311532,1.61854900,-0.16736350
-472.06311532,1.62205900,-0.16595970
-471.96311533,1.62526300,-0.16541030
-471.86311534,1.62968800,-0.16364020
-471.76311534,1.63289300,-0.16290780
-471.66311535,1.63701300,-0.16162600
-471.56311535,1.64082800,-0.15991700
-471.46311536,1.64357400,-0.15955080
-471.36311537,1.64723700,-0.15833000
-471.26311537,1.65105100,-0.15784170
-471.16311538,1.65425600,-0.15637680
-471.06311538,1.65883400,-0.15533920
-470.96311539,1.66066500,-0.15485090
-470.86311540,1.66493700,-0.15301980
-470.76311540,1.66844700,-0.15228740
-470.66311541,1.67180400,-0.15155490
-470.56311541,1.67577100,-0.15045620
-470.46311542,1.67821300,-0.14960170
-470.36311543,1.68141700,-0.14801480
-470.26311543,1.68691100,-0.14661090
-470.16311544,1.68889400,-0.14636680
-470.06311544,1.69301400,-0.14465770
-469.96311545,1.69637100,-0.14355910
-469.86311546,1.69957600,-0.14270450
-469.76311546,1.70201700,-0.14148380
-469.66311547,1.70674800,-0.14014100
-469.56311547,1.71025700,-0.13904230
-469.46311548,1.71300400,-0.13776050
-469.36311549,1.71697100,-0.13660090
-469.26311549,1.72017600,-0.13629570
-469.16311550,1.72307500,-0.13495280
-469.06311550,1.72643200,-0.13464770
-468.96311551,1.73055200,-0.13306070
-468.86311551,1.73345100,-0.13177890
-468.76311552,1.73680800,-0.13098540
-468.66311553,1.73970800,-0.12970370
-468.56311553,1.74367500,-0.12884910
-468.46311554,1.74657400,-0.12732320
-468.36311554,1.74932100,-0.12665180
-468.26311555,1.75298300,-0.12475970
-468.16311556,1.75725600,-0.12329480
-468.06311556,1.76000200,-0.12353890
-467.96311557,1.76244400,-0.12262340
-467.86311557,1.76595400,-0.12085330
-467.76311558,1.76976800,-0.11975460
-467.66311559,1.77236200,-0.11841180
-467.56311559,1.77526200,-0.11743520
-467.46311560,1.77892400,-0.11645860
-467.36311560,1.78075500,-0.11560410
-467.26311561,1.78334900,-0.11358990
-467.16311562,1.78792700,-0.11297950
-467.06311562,1.79204700,-0.11151460
-466.96311563,1.79357300,-0.11096530
-466.86311563,1.79799800,-0.11029390
-466.76311564,1.80105000,-0.10956150
-466.66311565,1.80288100,-0.10736410
-466.56311565,1.80761100,-0.10644860
-466.46311566,1.80913700,-0.10541090
-466.36311566,1.81279900,-0.10388500
-466.26311567,1.81539400,-0.10345770
-466.16311568,1.81875100,-0.10168770
-466.06311568,1.82226000,-0.10119940
-465.96311569,1.82592200,-0.09997864
-465.86311569,1.82897400,-0.09912412
-465.76311570,1.83187400,-0.09759820
-465.66311570,1.83385700,-0.09662160
-465.56311571,1.83614600,-0.09479049
-465.46311572,1.83935100,-0.09515671
-465.36311572,1.84286000,-0.09356975
-465.26311573,1.84545400,-0.09228797
-465.16311573,1.84896400,-0.09094515
-465.06311574,1.85232100,-0.08996856
-464.96311575,1.85384700,-0.08929716
-464.86311575,1.85750900,-0.08874783
-464.76311576,1.85995100,-0.08716086
-464.66311576,1.86330800,-0.08563494
-464.56311577,1.86620700,-0.08502457
-464.46311578,1.86803800,-0.08362071
-464.36311578,1.87109000,-0.08288828
-464.26311579,1.87414200,-0.08124027
-464.16311579,1.87719400,-0.08050783
-464.06311580,1.87887200,-0.07947020
-463.96311581,1.88238200,-0.07818842
-463.86311581,1.88421300,-0.07702872
-463.76311582,1.88772200,-0.07611316
-463.66311582,1.89046900,-0.07489242
-463.56311583,1.89321600,-0.07415998
-463.46311584,1.89581000,-0.07293924
-463.36311584,1.89840400,-0.07153539
-463.26311585,1.90206600,-0.07031465
-463.16311585,1.90313400,-0.06921598
-463.06311586,1.90603400,-0.06811731
-462.96311587,1.91015400,-0.06732383
-462.86311587,1.91229000,-0.06598102
-462.76311588,1.91534200,-0.06457716
-462.66311588,1.91656200,-0.06396680
-462.56311589,1.91991900,-0.06311227
-462.46311589,1.92236100,-0.06201361
-462.36311590,1.92480200,-0.05993835
-462.26311591,1.92693900,-0.05938902
-462.16311591,1.92999100,-0.05804621
-462.06311592,1.93182200,-0.05694754
-461.96311592,1.93472100,-0.05590991
-461.86311593,1.93701000,-0.05615406
-461.76311594,1.94021400,-0.05346843
-461.66311594,1.94265600,-0.05285806
-461.56311595,1.94494500,-0.05194250
-461.46311595,1.94692800,-0.05059969
-461.36311596,1.94891200,-0.04998932
-461.26311597,1.95150600,-0.04834132
-461.16311597,1.95333700,-0.04742576
-461.06311598,1.95684700,-0.04608295
-460.96311598,1.95928800,-0.04467910
-460.86311599,1.96203500,-0.04333628
-460.76311600,1.96356100,-0.04278695
-460.66311600,1.96661300,-0.04132206
-460.56311601,1.96905400,-0.04052858
-460.46311601,1.97134300,-0.03875851
-460.36311602,1.97363200,-0.03820917
-460.26311603,1.97653100,-0.03643910
-460.16311603,1.97729400,-0.03552354
-460.06311604,1.98126200,-0.03460799
-459.96311604,1.98324500,-0.03302103
-459.86311605,1.98583900,-0.03228858
-459.76311606,1.98782300,-0.03118992
-459.66311606,1.98919600,-0.02917570
-459.56311607,1.99179100,-0.02923673
-459.46311607,1.99438500,-0.02758873
-459.36311608,1.99697900,-0.02697836
-459.26311608,1.99774200,-0.02471999
-459.16311609,2.00079300,-0.02410962
-459.06311610,2.00231900,-0.02313303
-458.96311610,2.00491400,-0.02221747
-458.86311611,2.00674500,-0.02075259
-458.76311611,2.00933900,-0.01965392
-458.66311612,2.01208500,-0.01886044
-458.56311613,2.01300100,-0.01751762
-458.46311613,2.01559500,-0.01623585
-458.36311614,2.01712100,-0.01519822
-458.26311614,2.01986800,-0.01458785
-458.16311615,2.02200400,-0.01269570
-458.06311616,2.02368200,-0.01208533
-457.96311616,2.02581900,-0.01062044
-457.86311617,2.02826000,-0.00976592
-457.76311617,2.02902300,-0.00775170
-457.66311618,2.03177000,-0.00775170
-457.56311619,2.03299000,-0.00622578
-457.46311619,2.03528000,-0.00469985
-457.36311620,2.03772100,-0.00396741
-457.26311620,2.04016200,-0.00280770
-457.16311621,2.04092500,-0.00158696
-457.06311622,2.04397700,-0.00067141
-456.96311622,2.04535100,0.00091556
-456.86311623,2.04763900,0.00128178
-456.76311623,2.04794500,0.00286874
-456.66311624,2.05099700,0.00323496
-456.56311624,2.05206500,0.00488296
-456.46311625,2.05404800,0.00689718
-456.36311626,2.05710000,0.00738548
-456.26311626,2.05740500,0.00860622
-456.16311627,2.05984700,0.00915555
-456.06311627,2.06045700,0.01086459
-455.96311628,2.06350900,0.01196326
-455.86311629,2.06534000,0.01239051
-455.76311629,2.06686600,0.01336711
-455.66311630,2.06854500,0.01464888
-455.56311630,2.07037600,0.01648000
-455.46311631,2.07174900,0.01702933
-455.36311632,2.07358000,0.01812799
-455.26311632,2.07525900,0.01922666
-455.16311633,2.07632700,0.02050844
-455.06311633,2.07846300,0.02160710
-454.96311634,2.07998900,0.02374340
-454.86311635,2.08197300,0.02294992
-454.76311635,2.08487200,0.02533036
-454.66311636,2.08471900,0.02612384
-454.56311636,2.08548200,0.02691733
-454.46311637,2.08761900,0.02789392
-454.36311638,2.08929700,0.02887051
-454.26311638,2.09067100,0.03076266
-454.16311639,2.09265400,0.03167821
-454.06311639,2.09357000,0.03277688
-453.96311640,2.09494300,0.03326517
-453.86311641,2.09631600,0.03491317
-453.76311641,2.09830000,0.03601184
-453.66311642,2.10013100,0.03668325
-453.56311642,2.10104700,0.03820917
-453.46311643,2.10211500,0.03930784
-453.36311643,2.10470900,0.04058962
-453.26311644,2.10593000,0.04174932
-453.16311645,2.10684500,0.04272591
-453.06311645,2.10806600,0.04333628
-452.96311646,2.11005000,0.04467910
-452.86311646,2.11111800,0.04571673
-452.76311647,2.11111800,0.04638813
-452.66311648,2.11355900,0.04828028
-452.56311648,2.11554300,0.04895169
-452.46311649,2.11706900,0.04998932
-452.36311649,2.11752700,0.05145421
-452.26311650,2.11981600,0.05273598
