Time,Channel A,Channel B
(ms),(V),(V)

-0.16018740,-2.47627200,-0.00177007
-0.16008740,-2.47673000,-0.00170904
-0.15998740,-2.47596700,-0.00158696
-0.15988740,-2.47550900,-0.00158696
-0.15978740,-2.47642400,-0.00164800
-0.15968740,-2.47718700,-0.00201422
-0.15958740,-2.47673000,-0.00177007
-0.15948740,-2.47596700,-0.00164800
-0.15938740,-2.47581400,-0.00189215
-0.15928740,-2.47566200,-0.00213630
-0.15918740,-2.47688200,-0.00189215
-0.15908740,-2.47627200,-0.00201422
-0.15898740,-2.47596700,-0.00158696
-0.15888740,-2.47550900,-0.00103763
-0.15878740,-2.47611900,-0.00170904
-0.15868740,-2.47611900,-0.00183111
-0.15858740,-2.47596700,-0.00201422
-0.15848740,-2.47596700,-0.00158696
-0.15838740,-2.47505100,-0.00213630
-0.15828740,-2.47642400,-0.00140385
-0.15818740,-2.47734000,-0.00146489
-0.15808740,-2.47550900,-0.00122074
-0.15798740,-2.47596700,-0.00146489
-0.15788740,-2.47581400,-0.00177007
-0.15778740,-2.47673000,-0.00158696
-0.15768740,-2.47581400,-0.00183111
-0.15758740,-2.47642400,-0.00189215
-0.15748740,-2.47642400,-0.00225837
-0.15738740,-2.47566200,-0.00213630
-0.15728740,-2.47566200,-0.00213630
-0.15718740,-2.47550900,-0.00201422
-0.15708740,-2.47489900,-0.00177007
-0.15698740,-2.47688200,-0.00183111
-0.15688740,-2.47688200,-0.00177007
-0.15678740,-2.47642400,-0.00122074
-0.15668740,-2.47611900,-0.00164800
-0.15658740,-2.47566200,-0.00189215
-0.15648740,-2.47566200,-0.00146489
-0.15638740,-2.47627200,-0.00219733
-0.15628740,-2.47688200,-0.00177007
-0.15618740,-2.47611900,-0.00170904
-0.15608740,-2.47688200,-0.00128178
-0.15598740,-2.47673000,-0.00122074
-0.15588740,-2.47550900,-0.00225837
-0.15578740,-2.47627200,-0.00183111
-0.15568740,-2.47642400,-0.00073244
-0.15558740,-2.47673000,-0.00183111
-0.15548740,-2.47688200,-0.00140385
-0.15538740,-2.47703500,-0.00109867
-0.15528740,-2.47688200,-0.00244148
-0.15518740,-2.47688200,-0.00183111
-0.15508740,-2.47703500,-0.00109867
-0.15498740,-2.47688200,-0.00201422
-0.15488740,-2.47611900,-0.00128178
-0.15478740,-2.47718700,-0.00183111
-0.15468740,-2.47627200,-0.00170904
-0.15458740,-2.47642400,-0.00183111
-0.15448740,-2.47688200,-0.00170904
-0.15438740,-2.47703500,-0.00170904
-0.15428740,-2.47764500,-0.00164800
-0.15418740,-2.47611900,-0.00177007
-0.15408740,-2.47703500,-0.00140385
-0.15398740,-2.47749300,-0.00177007
-0.15388740,-2.47703500,-0.00122074
-0.15378740,-2.47703500,-0.00158696
-0.15368740,-2.47611900,-0.00140385
-0.15358740,-2.47611900,-0.00183111
-0.15348740,-2.47581400,-0.00146489
-0.15338740,-2.47611900,-0.00128178
-0.15328740,-2.47688200,-0.00170904
-0.15318740,-2.47703500,-0.00177007
-0.15308740,-2.47627200,-0.00134281
-0.15298740,-2.47642400,-0.00177007
-0.15288740,-2.47627200,-0.00219733
-0.15278740,-2.47673000,-0.00213630
-0.15268740,-2.47611900,-0.00170904
-0.15258740,-2.47673000,-0.00183111
-0.15248740,-2.47596700,-0.00146489
-0.15238740,-2.47642400,-0.00177007
-0.15228740,-2.47611900,-0.00219733
-0.15218740,-2.47581400,-0.00207526
-0.15208740,-2.47627200,-0.00317393
-0.15198740,-2.47688200,-0.00164800
-0.15188740,-2.47535600,-0.00183111
-0.15178740,-2.47581400,-0.00158696
-0.15168740,-2.47596700,-0.00183111
-0.15158740,-2.47688200,-0.00170904
-0.15148740,-2.47596700,-0.00170904
-0.15138740,-2.47673000,-0.00177007
-0.15128740,-2.47611900,-0.00170904
-0.15118740,-2.47642400,-0.00158696
-0.15108740,-2.47688200,-0.00134281
-0.15098740,-2.47627200,-0.00146489
-0.15088740,-2.47550900,-0.00128178
-0.15078740,-2.47566200,-0.00128178
-0.15068740,-2.47611900,-0.00170904
-0.15058740,-2.47581400,-0.00201422
-0.15048740,-2.47611900,-0.00146489
-0.15038740,-2.47596700,-0.00183111
-0.15028741,-2.47673000,-0.00164800
-0.15018741,-2.47703500,-0.00189215
-0.15008741,-2.47642400,-0.00177007
-0.14998741,-2.47703500,-0.00170904
-0.14988741,-2.47688200,-0.00183111
-0.14978741,-2.47642400,-0.00177007
-0.14968741,-2.47688200,-0.00201422
-0.14958741,-2.47581400,-0.00097659
-0.14948741,-2.47642400,-0.00189215
