Time,Channel A,Channel B
(ms),(V),(V)

-0.16018404,2.43965000,-0.10736410
-0.16008404,2.43934400,-0.10571610
-0.15998404,2.43934400,-0.10473950
-0.15988404,2.44026000,-0.10315260
-0.15978404,2.44148100,-0.10242010
-0.15968404,2.44148100,-0.10107730
-0.15958404,2.44361700,-0.09967345
-0.15948404,2.44300700,-0.09857479
-0.15938404,2.44422700,-0.09662160
-0.15928404,2.44605900,-0.09649953
-0.15918404,2.44636400,-0.09436323
-0.15908404,2.44605900,-0.09277627
-0.15898404,2.44636400,-0.09198279
-0.15888404,2.44636400,-0.09100620
-0.15878404,2.44880500,-0.08941923
-0.15868404,2.44880500,-0.08862575
-0.15858404,2.44911000,-0.08703879
-0.15848404,2.45002600,-0.08673360
-0.15838404,2.45094200,-0.08490250
-0.15828404,2.45063600,-0.08374279
-0.15818404,2.45063600,-0.08239998
-0.15808404,2.45063600,-0.08093509
-0.15798404,2.45002600,-0.07983642
-0.15788404,2.45063600,-0.07837153
-0.15778404,2.45124700,-0.07727286
-0.15768404,2.45185700,-0.07635731
-0.15758404,2.45246700,-0.07495346
-0.15748404,2.45246700,-0.07385479
-0.15738404,2.45307800,-0.07251198
-0.15728404,2.45368800,-0.07159642
-0.15718404,2.45338300,-0.06994842
-0.15708404,2.45429800,-0.06842250
-0.15698404,2.45429800,-0.06714072
-0.15688404,2.45490900,-0.06573687
-0.15678404,2.45582400,-0.06469924
-0.15668404,2.45521400,-0.06378368
-0.15658404,2.45582400,-0.06152532
-0.15648404,2.45643500,-0.06042665
-0.15638404,2.45735000,-0.05914487
-0.15628404,2.45765600,-0.05853450
-0.15618404,2.45826600,-0.05749687
-0.15608404,2.45735000,-0.05554369
-0.15598404,2.45765600,-0.05505539
-0.15588404,2.45887600,-0.05346843
-0.15578404,2.45979200,-0.05243080
-0.15568404,2.45826600,-0.05169836
-0.15558404,2.45796100,-0.04998932
-0.15548404,2.45887600,-0.04852443
-0.15538404,2.45979200,-0.04754784
-0.15528404,2.45918200,-0.04620502
-0.15518404,2.46009700,-0.04504532
-0.15508404,2.45887600,-0.04327524
-0.15498404,2.45918200,-0.04223762
-0.15488404,2.45918200,-0.04113895
-0.15478404,2.46009700,-0.03930784
-0.15468404,2.45857100,-0.03839228
-0.15458404,2.46131800,-0.03747673
-0.15448404,2.45979200,-0.03601184
-0.15438404,2.46131800,-0.03491317
-0.15428404,2.46162300,-0.03326517
-0.15418404,2.46009700,-0.03216651
-0.15408404,2.46131800,-0.03155614
-0.15398404,2.46070700,-0.03070162
-0.15388404,2.46009700,-0.02887051
-0.15378404,2.46314900,-0.02832118
-0.15368404,2.46284400,-0.02624592
-0.15358404,2.46162300,-0.02526933
-0.15348404,2.46284400,-0.02386547
-0.15338404,2.46253800,-0.02233955
-0.15328404,2.46223300,-0.02154607
-0.15318404,2.46223300,-0.02044740
-0.15308404,2.46345400,-0.01904355
-0.15298404,2.46223300,-0.01812799
-0.15288404,2.46375900,-0.01635792
-0.15278404,2.46345400,-0.01580859
-0.15268404,2.46467500,-0.01428266
-0.15258404,2.46253800,-0.01232948
-0.15248404,2.46589600,-0.01159703
-0.15238404,2.46528500,-0.01019318
-0.15228404,2.46528500,-0.00903348
-0.15218404,2.46467500,-0.00836207
-0.15208404,2.46498000,-0.00769066
-0.15198404,2.46498000,-0.00640889
-0.15188404,2.46467500,-0.00463881
-0.15178404,2.46589600,-0.00360118
-0.15168404,2.46772700,-0.00256356
-0.15158404,2.46375900,-0.00103763
-0.15148404,2.46559000,0.00024415
-0.15138404,2.46650600,0.00152593
-0.15128404,2.46650600,0.00219733
-0.15118404,2.46559000,0.00396741
-0.15108404,2.46620100,0.00573748
-0.15098404,2.46711600,0.00616474
-0.15088404,2.46559000,0.00738548
-0.15078404,2.46742200,0.00891141
-0.15068404,2.46711600,0.01001007
-0.15058404,2.46528500,0.01159703
-0.15048404,2.46711600,0.01245155
-0.15038404,2.46742200,0.01355022
-0.15028404,2.46589600,0.01477096
-0.15018404,2.46772700,0.01605274
-0.15008404,2.46833700,0.01739555
-0.14998404,2.46772700,0.01818903
-0.14988404,2.46650600,0.01910459
-0.14978404,2.46955800,0.02117985
-0.14968404,2.46833700,0.02258370
-0.14958404,2.46955800,0.02307199
-0.14948404,2.46833700,0.02441481
-0.14938404,2.46833700,0.02533036
-0.14928404,2.46803200,0.02716147
-0.14918404,2.46955800,0.02795495
-0.14908404,2.46803200,0.02923673
-0.14898404,2.46833700,0.03027436
-0.14888404,2.46864200,0.03210547
-0.14878404,2.46986300,0.03283792
