Time,Channel A,Channel B
(ms),(V),(V)

-0.16019026,-2.47901800,-0.08087405
-0.16009026,-2.47871300,-0.08221687
-0.15999026,-2.47901800,-0.08331553
-0.15989026,-2.47901800,-0.08410901
-0.15979026,-2.47840800,-0.08581805
-0.15969026,-2.47962900,-0.08697775
-0.15959026,-2.47871300,-0.08746605
-0.15949026,-2.47871300,-0.08923613
-0.15939026,-2.47840800,-0.08984649
-0.15929026,-2.47901800,-0.09118931
-0.15919026,-2.48023900,-0.09204382
-0.15909026,-2.48023900,-0.09344768
-0.15899026,-2.47810300,-0.09503464
-0.15889026,-2.47993400,-0.09607227
-0.15879026,-2.48054500,-0.09656057
-0.15869026,-2.48023900,-0.09802546
-0.15859026,-2.48023900,-0.09863582
-0.15849026,-2.48207000,-0.09961241
-0.15839026,-2.47993400,-0.10101630
-0.15829026,-2.48146000,-0.10199290
-0.15819026,-2.48085000,-0.10303050
-0.15809026,-2.48054500,-0.10473950
-0.15799026,-2.48054500,-0.10559400
-0.15789026,-2.47993400,-0.10638750
-0.15779026,-2.48054500,-0.10736410
-0.15769026,-2.47993400,-0.10889000
-0.15759026,-2.48207000,-0.10992770
-0.15749026,-2.48207000,-0.11133150
-0.15739026,-2.48207000,-0.11188090
-0.15729026,-2.48207000,-0.11340680
-0.15719026,-2.48146000,-0.11413920
-0.15709026,-2.48329100,-0.11542100
-0.15699026,-2.48115500,-0.11633660
-0.15689026,0.62929170,-0.11456650
-0.15679026,2.35297700,-0.11590930
-0.15669026,2.36396400,-0.11426130
-0.15659026,2.36335300,-0.11420030
-0.15649026,2.36457400,-0.11175880
-0.15639026,2.36793100,-0.11072120
-0.15629026,2.36976200,-0.10950040
-0.15619026,2.37434000,-0.10742520
-0.15609026,2.37556100,-0.10724200
-0.15599026,2.38044400,-0.10541090
-0.15589026,2.38288500,-0.10455640
-0.15579026,2.38471600,-0.10388500
-0.15569026,2.38898900,-0.10205390
-0.15559026,2.39265100,-0.10126040
-0.15549026,2.39417700,-0.10071110
-0.15539026,2.39814400,-0.09887997
-0.15529026,2.40028100,-0.09759820
-0.15519026,2.40241700,-0.09576708
-0.15509026,2.40424800,-0.09479049
-0.15499026,2.40485900,-0.09466842
-0.15489026,2.40882600,-0.09344768
-0.15479026,2.40974100,-0.09173864
-0.15469026,2.41401400,-0.09039582
-0.15459026,2.41493000,-0.08948027
-0.15449026,2.41737100,-0.08813746
-0.15439026,2.41950800,-0.08691671
-0.15429026,2.41981300,-0.08526871
-0.15419026,2.42103300,-0.08453627
-0.15409026,2.42317000,-0.08380383
-0.15399026,2.42439000,-0.08172857
-0.15389026,2.42683200,-0.08032472
-0.15379026,2.42896800,-0.07934812
-0.15369026,2.42957900,-0.07879879
-0.15359026,2.43141000,-0.07715079
-0.15349026,2.43324100,-0.07593005
-0.15339026,2.43141000,-0.07489242
-0.15329026,2.43385100,-0.07379375
-0.15319026,2.43659800,-0.07226783
-0.15309026,2.43720800,-0.07110813
-0.15299026,2.43629300,-0.06964324
-0.15289026,2.43873400,-0.06842250
-0.15279026,2.43903900,-0.06732383
-0.15269026,2.44026000,-0.06585895
-0.15259026,2.44209100,-0.06469924
-0.15249026,2.44361700,-0.06463820
-0.15239026,2.44178600,-0.06311227
-0.15229026,2.44544800,-0.06170843
-0.15219026,2.44758400,-0.06054872
-0.15209026,2.44758400,-0.05920591
-0.15199026,2.44789000,-0.05810724
-0.15189026,2.44666900,-0.05682547
-0.15179026,2.44666900,-0.05548265
-0.15169026,2.44911000,-0.05383465
-0.15159026,2.44758400,-0.05249184
-0.15149026,2.45124700,-0.05200354
-0.15139026,2.45185700,-0.05035554
-0.15129026,2.45155200,-0.04943999
-0.15119026,2.45277300,-0.04785302
-0.15109026,2.45368800,-0.04669332
-0.15099026,2.45277300,-0.04620502
-0.15089026,2.45399300,-0.04467910
-0.15079026,2.45490900,-0.04370251
-0.15069026,2.45521400,-0.04211554
-0.15059026,2.45490900,-0.04083376
-0.15049026,2.45490900,-0.03961302
-0.15039026,2.45613000,-0.03857540
-0.15029026,2.45551900,-0.03784295
-0.15019026,2.45735000,-0.03570665
-0.15009026,2.45826600,-0.03497421
-0.14999026,2.45796100,-0.03332621
-0.14989026,2.45979200,-0.03289896
-0.14979026,2.45979200,-0.03143407
-0.14969026,2.45887600,-0.02978607
-0.14959026,2.46070700,-0.02929777
-0.14949026,2.45918200,-0.02734458
-0.14939026,2.46070700,-0.02642903
-0.14929026,2.46131800,-0.02526933
-0.14919026,2.46101300,-0.02386547
-0.14909026,2.46009700,-0.02276681
