Time,Channel A,Channel B
(ms),(V),(V)

-2.40011048,0.23059790,-0.14453570
-2.40001048,0.22901090,-0.14600050
-2.39991048,0.22730190,-0.14716020
-2.39981048,0.22687460,-0.14673300
-2.39971048,0.22516560,-0.14832000
-2.39961048,0.22394480,-0.14917450
-2.39951048,0.22254100,-0.14923550
-2.39941048,0.22156440,-0.14996800
-2.39931048,0.21985530,-0.15057830
-2.39921048,0.21900080,-0.15137180
-2.39911048,0.21753590,-0.15186010
-2.39901048,0.21619310,-0.15198220
-2.39891048,0.21448410,-0.15308090
-2.39881048,0.21369060,-0.15369120
-2.39871048,0.21240880,-0.15478990
-2.39861048,0.21021150,-0.15515610
-2.39851048,0.20923490,-0.15521710
-2.39841048,0.20770900,-0.15613270
-2.39831048,0.20691550,-0.15607170
-2.39821048,0.20471820,-0.15637680
-2.39811048,0.20337530,-0.15649890
-2.39801048,0.20203250,-0.15710930
-2.39791048,0.20099490,-0.15808590
-2.39781048,0.19977420,-0.15839110
-2.39771048,0.19794300,-0.15930660
-2.39761048,0.19690540,-0.15997800
-2.39751048,0.19525740,-0.16095460
-2.39741048,0.19360940,-0.16125980
-2.39731048,0.19244970,-0.16150400
-2.39721048,0.19092380,-0.16162600
-2.39711048,0.18927580,-0.16205330
-2.39701048,0.18842130,-0.16272470
-2.39691048,0.18732260,-0.16284680
-2.39681048,0.18512530,-0.16333510
-2.39671048,0.18390450,-0.16370130
-2.39661048,0.18219550,-0.16339610
-2.39651048,0.18103580,-0.16412850
-2.39641048,0.17828910,-0.16620380
-2.39631048,0.17780080,-0.16480000
-2.39621048,0.17590870,-0.16589860
-2.39611048,0.17438280,-0.16577660
-2.39601048,0.17346720,-0.16602070
-2.39591048,0.17188020,-0.16620380
-2.39581048,0.17065950,-0.16711940
-2.39571048,0.16925570,-0.16675310
-2.39561048,0.16711940,-0.16705830
-2.39551048,0.16565450,-0.16809590
-2.39541048,0.16461680,-0.16772970
-2.39531048,0.16315190,-0.16846220
-2.39521048,0.16187020,-0.16913360
-2.39511048,0.16040530,-0.16827910
-2.39501048,0.15881830,-0.16943880
-2.39491048,0.15790280,-0.16779080
-2.39481048,0.15527820,-0.16736350
-2.39471048,0.15436260,-0.16913360
-2.39461048,0.15338600,-0.16815700
-2.39451048,0.15112770,-0.16882840
-2.39441048,0.14966280,-0.16980500
-2.39431048,0.14825890,-0.16913360
-2.39421048,0.14679400,-0.16974400
-2.39411048,0.14496290,-0.17047640
-2.39401048,0.14416940,-0.17096470
-2.39391048,0.14191110,-0.17139190
-2.39381048,0.14044620,-0.17078160
-2.39371048,0.13904230,-0.17151400
-2.39361048,0.13745540,-0.17126990
-2.39351048,0.13568530,-0.17139190
-2.39341048,0.13428140,-0.17200230
-2.39331048,0.13238930,-0.17218540
-2.39321048,0.13074130,-0.17175820
-2.39311048,0.12958160,-0.17163610
-2.39301048,0.12793360,-0.17273480
-2.39291048,0.12640770,-0.17242960
-2.39281048,0.12482070,-0.17230750
-2.39271048,0.12347790,-0.17200230
-2.39261048,0.12231820,-0.17236850
-2.39251048,0.12024290,-0.17242960
-2.39241048,0.11883910,-0.17236850
-2.39231048,0.11713000,-0.17242960
-2.39221048,0.11603140,-0.17273480
-2.39211048,0.11450540,-0.17249060
-2.39201048,0.11249120,-0.17291790
-2.39191048,0.11175880,-0.17310100
-2.39181048,0.11004970,-0.17249060
-2.39171048,0.10882900,-0.17242960
-2.39161048,0.10724200,-0.17273480
-2.39151048,0.10473950,-0.17206340
-2.39141048,0.10254220,-0.17236850
-2.39131048,0.10242010,-0.17242960
-2.39121048,0.10052800,-0.17206340
-2.39111048,0.09900205,-0.17212440
-2.39101048,0.09723197,-0.17255160
-2.39091048,0.09625538,-0.17236850
-2.39081048,0.09393597,-0.17206340
-2.39071048,0.09259316,-0.17279580
-2.39061048,0.09106723,-0.17230750
-2.39051048,0.08972442,-0.17218540
-2.39041048,0.08819849,-0.17188020
-2.39031048,0.08673360,-0.17212440
-2.39021048,0.08478042,-0.17120880
-2.39011048,0.08331553,-0.17157510
-2.39001048,0.08203375,-0.17218540
-2.38991048,0.08062990,-0.17096470
-2.38981048,0.07904294,-0.17084260
-2.38971048,0.07727286,-0.17169710
-2.38961048,0.07525864,-0.17090370
-2.38951048,0.07440413,-0.17004910
-2.38941048,0.07342754,-0.17084260
-2.38931048,0.07092501,-0.17004910
-2.38921048,0.06982635,-0.17084260
-2.38911048,0.06811731,-0.17011020
-2.38901048,0.06695761,-0.16943880
-2.38891048,0.06585895,-0.16962190
-2.38881048,0.06408887,-0.16913360
