Time,Channel A,Channel B
(ms),(V),(V)

-2.40018731,-0.03338725,-0.03320414
-2.40008731,-0.03381451,-0.03192236
-2.39998731,-0.03369243,-0.02929777
-2.39988731,-0.03344829,-0.02752770
-2.39978731,-0.03381451,-0.02490310
-2.39968731,-0.03399762,-0.02246162
-2.39958731,-0.03399762,-0.01995911
-2.39948731,-0.03436384,-0.01751762
-2.39938731,-0.03424177,-0.01532029
-2.39928731,-0.03393658,-0.01239051
-2.39918731,-0.03466903,-0.01055940
-2.39908731,-0.03448591,-0.00817896
-2.39898731,-0.03405866,-0.00604267
-2.39888731,-0.03338725,-0.00317393
-2.39878731,-0.03387555,-0.00140385
-2.39868731,-0.03424177,0.00061037
-2.39858731,-0.03399762,0.00274667
-2.39848731,-0.03369243,0.00518815
-2.39838731,-0.03357036,0.00793481
-2.39828731,-0.03289896,0.01055940
-2.39818731,-0.03357036,0.01287881
-2.39808731,-0.03271584,0.01532029
-2.39798731,-0.03277688,0.01721244
-2.39788731,-0.03247169,0.01928770
-2.39778731,-0.03180028,0.02227851
-2.39768731,-0.03186132,0.02380444
-2.39758731,-0.03161718,0.02642903
-2.39748731,-0.03106784,0.02789392
-2.39738731,-0.03039644,0.03064058
-2.39728731,-0.03051851,0.03259377
-2.39718731,-0.02966399,0.03534044
-2.39708731,-0.02887051,0.03704947
-2.39698731,-0.02887051,0.03906369
-2.39688731,-0.02862636,0.04217658
-2.39678731,-0.02801599,0.04358043
-2.39668731,-0.02789392,0.04510636
-2.39658731,-0.02746666,0.04766991
-2.39648731,-0.02691733,0.04968413
-2.39638731,-0.02587970,0.05224769
-2.39628731,-0.02612384,0.05389569
-2.39618731,-0.02514725,0.05627613
-2.39608731,-0.02465896,0.05798517
-2.39598731,-0.02398755,0.05993835
-2.39588731,-0.02392651,0.06140324
-2.39578731,-0.02319407,0.06366161
-2.39568731,-0.02203436,0.06555375
-2.39558731,-0.02148503,0.06756798
-2.39548731,-0.02148503,0.06933805
-2.39538731,-0.02117985,0.07129124
-2.39528731,-0.02044740,0.07287820
-2.39518731,-0.01879940,0.07470931
-2.39508731,-0.01837214,0.07666250
-2.39498731,-0.01763970,0.07818842
-2.39488731,-0.01715140,0.08014160
-2.39478731,-0.01617481,0.08178961
-2.39468731,-0.01495407,0.08404797
-2.39458731,-0.01489303,0.08520768
-2.39448731,-0.01373333,0.08703879
-2.39438731,-0.01287881,0.08813746
-2.39428731,-0.01184118,0.08978546
-2.39418731,-0.01116977,0.09198279
-2.39408731,-0.01037629,0.09308145
-2.39398731,-0.00976592,0.09491257
-2.39388731,-0.00878933,0.09613331
-2.39378731,-0.00738548,0.09717093
-2.39368731,-0.00646992,0.09912412
-2.39358731,-0.00579852,0.10083320
-2.39348731,-0.00537126,0.10223700
-2.39338731,-0.00390637,0.10339670
-2.39328731,-0.00372326,0.10504470
-2.39318731,-0.00219733,0.10559400
-2.39308731,-0.00103763,0.10748620
-2.39298731,-0.00018311,0.10858490
-2.39288731,0.00097659,0.10980560
-2.39278731,0.00134281,0.11175880
-2.39268731,0.00256356,0.11279640
-2.39258731,0.00415052,0.11413920
-2.39248731,0.00518815,0.11529890
-2.39238731,0.00610370,0.11682490
-2.39228731,0.00720237,0.11810660
-2.39218731,0.00805689,0.11877800
-2.39208731,0.00933866,0.12018190
-2.39198731,0.01049837,0.12170780
-2.39188731,0.01165807,0.12231820
-2.39178731,0.01324503,0.12408830
-2.39168731,0.01403851,0.12512590
-2.39158731,0.01550340,0.12622450
-2.39148731,0.01684622,0.12695700
-2.39138731,0.01812799,0.12933740
-2.39128731,0.01934873,0.13049710
-2.39118731,0.02093570,0.13110750
-2.39108731,0.02197333,0.13226720
-2.39098731,0.02319407,0.13312170
-2.39088731,0.02490310,0.13391520
-2.39078731,0.02624592,0.13495280
-2.39068731,0.02758873,0.13837090
-2.39058731,0.02899258,0.13885920
-2.39048731,0.02984710,0.13971370
-2.39038731,0.03118992,0.14032410
-2.39028731,0.03216651,0.14001890
-2.39018731,0.03399762,0.14178900
-2.39008731,0.03509629,0.14239940
-2.38998731,0.03619495,0.14331490
-2.38988731,0.03814813,0.14374220
-2.38978731,0.03863643,0.14557330
-2.38968731,0.04010132,0.14654990
-2.38958731,0.04217658,0.14709920
-2.38948731,0.04284799,0.14844200
-2.38938731,0.04504532,0.14960170
-2.38928731,0.04565569,0.15002900
-2.38918731,0.04730369,0.15076140
-2.38908731,0.04889065,0.15210430
-2.38898731,0.04980621,0.15222630
-2.38888731,0.05127110,0.15363020
-2.38878731,0.05346843,0.15546130
