Time,Channel A,Channel B
(ms),(V),(V)

-2.40016147,0.01001007,-0.15845210
-2.40006147,0.00817896,-0.15881830
-2.39996147,0.00811792,-0.15820800
-2.39986147,0.00573748,-0.15778070
-2.39976147,0.00506607,-0.15753660
-2.39966147,0.00299081,-0.15692620
-2.39956147,0.00164800,-0.15686510
-2.39946147,0.00000000,-0.15692620
-2.39936147,-0.00103763,-0.15637680
-2.39926147,-0.00225837,-0.15643790
-2.39916147,-0.00366222,-0.15710930
-2.39906147,-0.00469985,-0.15540020
-2.39896147,-0.00646992,-0.15576650
-2.39886147,-0.00830104,-0.15478990
-2.39876147,-0.00970489,-0.15436260
-2.39866147,-0.01086459,-0.15533920
-2.39856147,-0.01239051,-0.15424050
-2.39846147,-0.01373333,-0.15491200
-2.39836147,-0.01452681,-0.15436260
-2.39826147,-0.01599170,-0.15369120
-2.39816147,-0.01757866,-0.15387430
-2.39806147,-0.01971496,-0.15295880
-2.39796147,-0.01995911,-0.15198220
-2.39786147,-0.02154607,-0.15210430
-2.39776147,-0.02356029,-0.15271460
-2.39766147,-0.02392651,-0.15173800
-2.39756147,-0.02691733,-0.15173800
-2.39746147,-0.02710044,-0.15179910
-2.39736147,-0.02850429,-0.15063940
-2.39726147,-0.03027436,-0.15173800
-2.39716147,-0.03198340,-0.15070040
-2.39706147,-0.03350932,-0.15070040
-2.39696147,-0.03430280,-0.15027310
-2.39686147,-0.03552354,-0.14978480
-2.39676147,-0.03723258,-0.14960170
-2.39666147,-0.03863643,-0.14941860
-2.39656147,-0.03985717,-0.14880830
-2.39646147,-0.04113895,-0.14893030
-2.39636147,-0.04217658,-0.14807580
-2.39626147,-0.04339732,-0.14752650
-2.39616147,-0.04528947,-0.14758750
-2.39606147,-0.04669332,-0.14679400
-2.39596147,-0.04766991,-0.14642780
-2.39586147,-0.04834132,-0.14624470
-2.39576147,-0.05084383,-0.14545120
-2.39566147,-0.05169836,-0.14551230
-2.39556147,-0.05224769,-0.14539020
-2.39546147,-0.05389569,-0.14429150
-2.39536147,-0.05493332,-0.14447460
-2.39526147,-0.05621509,-0.14386430
-2.39516147,-0.05780206,-0.14343700
-2.39506147,-0.05847346,-0.14294870
-2.39496147,-0.05987731,-0.14307080
-2.39486147,-0.06158635,-0.14264350
-2.39476147,-0.06274606,-0.14197210
-2.39466147,-0.06372265,-0.14154480
-2.39456147,-0.06500442,-0.14148380
-2.39446147,-0.06677450,-0.14117860
-2.39436147,-0.06799524,-0.14014100
-2.39426147,-0.06854457,-0.14032410
-2.39416147,-0.07055879,-0.13904230
-2.39406147,-0.07190160,-0.13934750
-2.39396147,-0.07312235,-0.13892020
-2.39386147,-0.07464828,-0.13849300
-2.39376147,-0.07519761,-0.13806570
-2.39366147,-0.07666250,-0.13763850
-2.39356147,-0.07751702,-0.13721120
-2.39346147,-0.07879879,-0.13721120
-2.39336147,-0.08099613,-0.13623460
-2.39326147,-0.08154546,-0.13611260
-2.39316147,-0.08276620,-0.13507490
-2.39306147,-0.08435316,-0.13483080
-2.39296147,-0.08539079,-0.13464770
-2.39286147,-0.08642842,-0.13440350
-2.39276147,-0.08795434,-0.13367110
-2.39266147,-0.08856472,-0.13318280
-2.39256147,-0.08978546,-0.13232830
-2.39246147,-0.09161656,-0.13196200
-2.39236147,-0.09161656,-0.13141270
-2.39226147,-0.09424116,-0.13086340
-2.39216147,-0.09448531,-0.13049710
-2.39206147,-0.09619434,-0.12988680
-2.39196147,-0.09704886,-0.12952060
-2.39186147,-0.09851375,-0.12884910
-2.39176147,-0.09973449,-0.12817770
-2.39166147,-0.10071110,-0.12732320
-2.39156147,-0.10138250,-0.12677390
-2.39146147,-0.10278630,-0.12628560
-2.39136147,-0.10309150,-0.12628560
-2.39126147,-0.10498370,-0.12585830
-2.39116147,-0.10577720,-0.12585830
-2.39106147,-0.10693690,-0.12475970
-2.39096147,-0.10876800,-0.12402720
-2.39086147,-0.10956150,-0.12372200
-2.39076147,-0.11072120,-0.12360000
-2.39066147,-0.11230810,-0.12317270
-2.39056147,-0.11273540,-0.12280650
-2.39046147,-0.11389510,-0.12213510
-2.39036147,-0.11554310,-0.12170780
-2.39026147,-0.11658070,-0.12146370
-2.39016147,-0.11737420,-0.12048710
-2.39006147,-0.11798460,-0.12060910
-2.38996147,-0.11920530,-0.12012090
-2.38986147,-0.12024290,-0.11975460
-2.38976147,-0.12121950,-0.11896110
-2.38966147,-0.12268440,-0.11816770
-2.38956147,-0.12360000,-0.11767940
-2.38946147,-0.12475970,-0.11755730
-2.38936147,-0.12591940,-0.11682490
