Time,Channel A,Channel B
(ms),(V),(V)

-490.20460248,2.46009700,0.00000000
-490.19436248,2.46009700,0.00000000
-490.18412248,2.46009700,0.00000000
-490.17388248,2.46009700,0.15869620
-490.16364248,2.46009700,0.15869620
-490.15340248,2.46009700,0.15869620
-490.14316248,2.46009700,0.31739250
-490.13292248,2.46009700,0.31739250
-490.12268248,2.46009700,0.31739250
-490.11244248,2.46009700,0.31739250
-490.10220248,2.46009700,0.47608880
-490.09196248,2.46009700,0.47608880
-490.08172248,2.46009700,0.47608880
-490.07148248,2.46009700,0.63478500
-490.06124248,2.46009700,0.63478500
-490.05100248,2.46009700,0.63478500
-490.04076248,2.46009700,0.63478500
-490.03052248,2.46009700,0.79348120
-490.02028248,2.46009700,0.79348120
-490.01004248,2.46009700,0.79348120
-489.99980248,2.46009700,0.79348120
-489.98956248,2.46009700,0.79348120
-489.97932248,2.46009700,0.95217750
-489.96908248,2.46009700,0.95217750
-489.95884248,2.46009700,0.95217750
-489.94860248,2.46009700,0.95217750
-489.93836248,2.46009700,0.95217750
-489.92812248,2.46009700,1.11087400
-489.91788248,2.46009700,1.11087400
-489.90764248,2.46009700,1.11087400
-489.89740248,2.46009700,1.11087400
-489.88716248,2.46009700,1.11087400
-489.87692248,2.46009700,1.11087400
-489.86668248,2.46009700,1.26957000
-489.85644248,2.46009700,1.26957000
-489.84620248,2.46009700,1.26957000
-489.83596248,2.46009700,1.26957000
-489.82572248,2.46009700,1.26957000
-489.81548248,2.46009700,1.26957000
-489.80524248,2.46009700,1.42826600
-489.79500248,2.46009700,1.42826600
-489.78476248,2.46009700,1.42826600
-489.77452248,2.46009700,1.42826600
-489.76428248,2.46009700,1.42826600
-489.75404248,2.46009700,1.42826600
-489.74380248,2.46009700,1.42826600
-489.73356248,2.46009700,1.58696200
-489.72332248,2.46009700,1.58696200
-489.71308248,2.46009700,1.58696200
-489.70284248,2.46009700,1.58696200
-489.69260248,2.46009700,1.58696200
-489.68236248,2.46009700,1.58696200
-489.67212248,2.46009700,1.58696200
-489.66188248,2.46009700,1.58696200
-489.65164248,2.46009700,1.58696200
-489.64140248,2.46009700,1.74565900
-489.63116248,2.46009700,1.74565900
-489.62092248,2.46009700,1.74565900
-489.61068248,2.46009700,1.74565900
-489.60044248,2.46009700,1.74565900
-489.59020248,2.46009700,1.74565900
-489.57996248,2.46009700,1.74565900
-489.56972248,2.46009700,1.74565900
-489.55948248,2.46009700,1.74565900
-489.54924248,2.46009700,1.74565900
-489.53900248,2.46009700,1.74565900
-489.52876248,2.46009700,1.90435500
-489.51852248,2.46009700,1.74565900
-489.50828248,2.46009700,1.74565900
-489.49804248,2.46009700,1.90435500
-489.48780248,2.46009700,1.90435500
-489.47756248,2.46009700,1.90435500
-489.46732248,2.46009700,1.90435500
-489.45708248,2.46009700,1.90435500
-489.44684248,2.46009700,1.90435500
-489.43660248,2.46009700,1.90435500
-489.42636248,2.46009700,1.90435500
-489.41612248,2.46009700,1.90435500
-489.40588248,2.46009700,1.90435500
-489.39564248,2.46009700,1.90435500
-489.38540248,2.46009700,1.90435500
-489.37516248,2.46009700,1.90435500
-489.36492249,2.46009700,1.90435500
-489.35468249,2.46009700,1.90435500
-489.34444249,2.46009700,2.06305100
-489.33420249,2.46009700,2.06305100
-489.32396249,2.46009700,2.06305100
-489.31372249,2.46009700,2.06305100
-489.30348249,2.46009700,2.06305100
-489.29324249,2.46009700,2.06305100
-489.28300249,2.46009700,2.06305100
-489.27276249,2.46009700,2.06305100
-489.26252249,2.46009700,2.06305100
-489.25228249,2.46009700,2.06305100
-489.24204249,2.46009700,2.06305100
-489.23180249,2.46009700,2.06305100
-489.22156249,2.46009700,2.06305100
-489.21132249,2.46009700,2.06305100
-489.20108249,2.46009700,2.06305100
-489.19084249,2.46009700,2.06305100
-489.18060249,2.46009700,2.06305100
-489.17036249,2.46009700,2.06305100
-489.16012249,2.46009700,2.06305100
-489.14988249,2.46009700,2.06305100
-489.13964249,2.46009700,2.06305100
-489.12940249,2.46009700,2.22174700
-489.11916249,2.46009700,2.06305100
-489.10892249,2.46009700,2.06305100
-489.09868249,2.46009700,2.22174700
-489.08844249,2.46009700,2.22174700
-489.07820249,2.46009700,2.22174700
-489.06796249,2.46009700,2.22174700
-489.05772249,2.46009700,2.22174700
-489.04748249,2.46009700,2.22174700
-489.03724249,2.46009700,2.22174700
-489.02700249,2.46009700,2.22174700
-489.01676249,2.46009700,2.22174700
-489.00652249,2.46009700,2.22174700
-488.99628249,2.46009700,2.22174700
-488.98604249,2.46009700,2.22174700
