Time,Channel A,Channel B
(ms),(V),(V)

-488.79554868,2.46009700,0.00000000
-488.78530868,2.46009700,0.00000000
-488.77506868,2.46009700,0.00000000
-488.76482868,2.46009700,0.00000000
-488.75458868,2.46009700,0.00000000
-488.74434868,2.46009700,0.00000000
-488.73410868,2.46009700,0.00000000
-488.72386868,2.46009700,0.00000000
-488.71362868,2.46009700,0.00000000
-488.70338868,2.46009700,0.00000000
-488.69314868,2.46009700,0.00000000
-488.68290868,2.46009700,0.00000000
-488.67266868,2.46009700,0.00000000
-488.66242868,2.46009700,0.00000000
-488.65218868,2.46009700,0.00000000
-488.64194868,2.46009700,0.00000000
-488.63170868,2.46009700,0.00000000
-488.62146868,2.46009700,0.00000000
-488.61122868,2.46009700,0.00000000
-488.60098868,2.46009700,0.00000000
-488.59074868,2.46009700,0.00000000
-488.58050868,2.46009700,0.00000000
-488.57026868,2.46009700,0.00000000
-488.56002868,2.46009700,0.00000000
-488.54978868,2.46009700,0.00000000
-488.53954868,2.46009700,0.00000000
-488.52930868,2.46009700,0.00000000
-488.51906868,2.46009700,0.00000000
-488.50882868,2.46009700,0.00000000
-488.49858868,2.46009700,0.00000000
-488.48834868,2.46009700,0.00000000
-488.47810868,2.46009700,0.00000000
-488.46786868,2.46009700,0.00000000
-488.45762868,2.46009700,0.00000000
-488.44738868,2.46009700,0.00000000
-488.43714868,2.46009700,0.00000000
-488.42690868,2.46009700,0.00000000
-488.41666868,2.46009700,0.00000000
-488.40642868,2.46009700,0.00000000
-488.39618868,2.46009700,0.00000000
-488.38594868,2.46009700,0.00000000
-488.37570868,2.46009700,0.00000000
-488.36546868,2.46009700,0.00000000
-488.35522868,2.46009700,0.00000000
-488.34498868,2.46009700,0.00000000
-488.33474868,2.46009700,0.00000000
-488.32450868,2.46009700,0.00000000
-488.31426868,2.46009700,0.00000000
-488.30402868,2.46009700,0.00000000
-488.29378868,2.46009700,0.00000000
-488.28354868,2.46009700,0.00000000
-488.27330868,2.46009700,0.00000000
-488.26306868,2.46009700,0.00000000
-488.25282868,2.46009700,0.00000000
-488.24258868,2.46009700,0.00000000
-488.23234868,2.46009700,0.00000000
-488.22210868,2.46009700,0.00000000
-488.21186868,2.46009700,0.00000000
-488.20162868,2.46009700,0.00000000
-488.19138868,2.46009700,0.00000000
-488.18114868,2.46009700,-0.15869620
-488.17090868,2.53944500,0.00000000
-488.16066868,2.46009700,-0.15869620
-488.15042868,2.46009700,0.00000000
-488.14018868,2.46009700,-0.15869620
-488.12994868,2.46009700,-0.15869620
-488.11970868,2.46009700,-0.15869620
-488.10946868,2.46009700,-0.15869620
-488.09922868,2.46009700,-0.15869620
-488.08898868,2.46009700,-0.15869620
-488.07874868,2.46009700,0.00000000
-488.06850868,2.46009700,-0.15869620
-488.05826868,2.46009700,-0.15869620
-488.04802868,2.46009700,-0.15869620
-488.03778868,2.46009700,0.00000000
-488.02754868,2.46009700,-0.15869620
-488.01730868,2.46009700,-0.15869620
-488.00706868,2.46009700,-0.15869620
-487.99682868,2.46009700,-0.15869620
-487.98658868,2.46009700,-0.15869620
-487.97634868,2.46009700,-0.15869620
-487.96610868,2.46009700,-0.15869620
-487.95586868,2.46009700,-0.15869620
-487.94562868,2.46009700,-0.15869620
-487.93538868,2.46009700,-0.15869620
-487.92514868,2.46009700,-0.15869620
-487.91490868,2.46009700,0.00000000
-487.90466868,2.46009700,-0.15869620
-487.89442868,2.46009700,-0.15869620
-487.88418868,2.46009700,-0.15869620
-487.87394868,2.46009700,-0.15869620
-487.86370868,2.46009700,-0.15869620
-487.85346868,2.46009700,-0.15869620
-487.84322868,2.46009700,-0.15869620
-487.83298868,2.46009700,-0.15869620
-487.82274868,2.46009700,-0.15869620
-487.81250868,2.46009700,-0.15869620
-487.80226868,2.46009700,-0.15869620
-487.79202868,2.46009700,-0.15869620
-487.78178868,2.46009700,-0.15869620
-487.77154868,2.46009700,-0.15869620
-487.76130868,2.46009700,-0.15869620
-487.75106868,2.46009700,-0.15869620
-487.74082868,2.46009700,-0.15869620
-487.73058868,2.46009700,-0.15869620
-487.72034868,2.46009700,-0.15869620
-487.71010868,2.46009700,-0.15869620
-487.69986868,2.46009700,-0.15869620
-487.68962868,2.46009700,-0.15869620
-487.67938868,2.46009700,-0.15869620
-487.66914868,2.46009700,-0.15869620
-487.65890868,2.46009700,-0.15869620
-487.64866868,2.46009700,-0.15869620
-487.63842868,2.46009700,-0.15869620
-487.62818868,2.46009700,-0.15869620
-487.61794868,2.46009700,-0.15869620
-487.60770868,2.46009700,-0.15869620
