Time,Channel A,Channel B
(ms),(V),(V)

-490.19145966,0.55543680,0.15869620
-490.18121966,0.07934812,0.15869620
-490.17097966,-0.39674060,0.23804440
-490.16073966,-0.87282940,0.15869620
-490.15049966,-1.26957000,0.15869620
-490.14025966,-1.66661600,0.07934812
-490.13001966,-2.06335600,0.07934812
-490.11977966,-2.30140100,0.00000000
-490.10953966,-2.53944500,-0.07934812
-490.09929966,-2.61879300,-0.07934812
-490.08905966,-2.53944500,-0.15869620
-490.07881966,-2.46009700,-0.15869620
-490.06857966,-2.30140100,-0.23804440
-490.05833966,-2.06335600,-0.31739250
-490.04809966,-1.74596400,-0.31739250
-490.03785966,-1.26957000,-0.31739250
-490.02761966,-0.87282940,-0.39674060
-490.01737966,-0.39674060,-0.31739250
-490.00713966,0.07934812,-0.39674060
-489.99689966,0.55543680,-0.31739250
-489.98665966,1.03152600,-0.31739250
-489.97641966,1.42857100,-0.31739250
-489.96617966,1.74596400,-0.23804440
-489.95593966,2.06335600,-0.23804440
-489.94569966,2.22205300,-0.15869620
-489.93545966,2.38074900,-0.07934812
-489.92521966,2.38074900,0.00000000
-489.91497966,2.30140100,0.00000000
-489.90473966,2.14270400,0.07934812
-489.89449966,1.90466000,0.07934812
-489.88425966,1.58726800,0.15869620
-489.87401966,1.26957000,0.15869620
-489.86377966,0.79348120,0.15869620
-489.85353966,0.31739250,0.15869620
-489.84329966,-0.15869620,0.23804440
-489.83305966,-0.63478500,0.15869620
-489.82281966,-1.03152600,0.15869620
-489.81257966,-1.50792000,0.15869620
-489.80233966,-1.82531200,0.07934812
-489.79209966,-2.14270400,0.07934812
-489.78185966,-2.38074900,0.00000000
-489.77161966,-2.53944500,-0.07934812
-489.76137966,-2.61879300,-0.15869620
-489.75113966,-2.53944500,-0.15869620
-489.74089966,-2.38074900,-0.23804440
-489.73065966,-2.22205300,-0.23804440
-489.72041966,-1.90466000,-0.31739250
-489.71017966,-1.50792000,-0.31739250
-489.69993966,-1.11087400,-0.31739250
-489.68969966,-0.71413310,-0.39674060
-489.67945966,-0.15869620,-0.39674060
-489.66921966,0.31739250,-0.31739250
-489.65897966,0.71413310,-0.31739250
-489.64873966,1.19022200,-0.31739250
-489.63849966,1.58726800,-0.23804440
-489.62825966,1.90466000,-0.23804440
-489.61801966,2.14270400,-0.15869620
-489.60777966,2.30140100,-0.07934812
-489.59753966,2.38074900,-0.07934812
-489.58729966,2.38074900,0.00000000
-489.57705966,2.30140100,0.07934812
-489.56681966,2.06335600,0.07934812
-489.55657966,1.82531200,0.15869620
-489.54633966,1.42857100,0.15869620
-489.53609966,1.03152600,0.15869620
-489.52585966,0.63478500,0.15869620
-489.51561966,0.15869620,0.15869620
-489.50537966,-0.31739250,0.15869620
-489.49513966,-0.79348120,0.15869620
-489.48489966,-1.26957000,0.15869620
-489.47465966,-1.66661600,0.07934812
-489.46441966,-1.98400800,0.07934812
-489.45417966,-2.30140100,0.00000000
-489.44393966,-2.46009700,0.00000000
-489.43369966,-2.53944500,-0.07934812
-489.42345966,-2.61879300,-0.15869620
-489.41321966,-2.53944500,-0.15869620
-489.40297966,-2.38074900,-0.23804440
-489.39273966,-2.06335600,-0.23804440
-489.38249966,-1.74596400,-0.31739250
-489.37225966,-1.34891800,-0.31739250
-489.36201966,-0.95217750,-0.39674060
-489.35177966,-0.47608880,-0.39674060
-489.34153966,0.00000000,-0.31739250
-489.33129966,0.47608880,-0.31739250
-489.32105966,0.95217750,-0.31739250
-489.31081966,1.34891800,-0.31739250
-489.30057966,1.74596400,-0.23804440
-489.29033966,1.98400800,-0.23804440
-489.28009966,2.22205300,-0.15869620
-489.26985966,2.38074900,-0.07934812
-489.25961966,2.38074900,-0.07934812
-489.24937966,2.38074900,0.00000000
-489.23913966,2.22205300,0.07934812
-489.22889966,1.98400800,0.07934812
-489.21865966,1.66661600,0.15869620
-489.20841966,1.26957000,0.15869620
-489.19817966,0.87282940,0.15869620
-489.18793966,0.39674060,0.15869620
-489.17769966,-0.07934812,0.15869620
-489.16745966,-0.55543680,0.15869620
-489.15721966,-1.03152600,0.15869620
-489.14697966,-1.42857100,0.15869620
-489.13673966,-1.82531200,0.07934812
-489.12649966,-2.14270400,0.07934812
-489.11625966,-2.38074900,0.00000000
-489.10601966,-2.53944500,-0.07934812
-489.09577966,-2.61879300,-0.07934812
-489.08553966,-2.61879300,-0.15869620
-489.07529966,-2.46009700,-0.23804440
-489.06505966,-2.22205300,-0.23804440
-489.05481966,-1.90466000,-0.31739250
-489.04457966,-1.58726800,-0.31739250
