Frequency[MHz], U_A[V], Error U_A[V], U_B[V], Error U_B[V], phase[deg], Error phase[deg]
2.1, 1.449, 0.001, 0.4066, 0.0001, 78.14, 1
3.1, 1.442, 0.001, 0.3066, 0.0001, 84.52, 1
4.1, 1.439, 0.001, 0.2678, 0.0001, 88.9, 1
5.1, 1.438, 0.001, 0.2618, 0.0001, 93.0, 1
6.1, 1.444, 0.001, 0.2904, 0.0001, 97.6, 1
7.1, 1.453, 0.001, 0.3576, 0.0001, 104, 1
8.1, 1.472, 0.001, 0.5239, 0.0001, 115.5, 1
9.1, 1.562, 0.001, 0.9971, 0.0001, 147.0, 1
10.1, 1.545, 0.001, 0.9759, 0.0001, -144, 1
11.1, 1.451, 0.001, 0.5111, 0.0001, -113, 1
12.1, 1.441, 0.001, 0.3494, 0.0001, -101.4, 1
13.1, 1.438, 0.001, 0.2840, 0.0001, -94.8, 1
14.1, 1.434, 0.001, 0.2592, 0.0001, -89.8, 1
